V (V),T (K)
0.5596,300.02
0.616819,280.68
0.630369,274.98
0.665277,260.08
0.707559,240.09
0.755467,218.84
0.797191,199.91
0.808899,193.67
0.833222,181.85
0.857393,169.98
0.881055,158.11
0.906914,144.96
0.94589,124.46
0.969604,111.15
0.983903,100.15
0.994389,94.65
1.003019,90.07
1.009996,86.18
1.013337,84.3
1.016784,82.25
1.019761,80.53
1.023643,78.22
1.027256,76.08
1.029658,74.65
1.031773,73.39
1.033693,72.25
1.035452,71.2
1.037304,70.05
1.038836,69.12
1.040062,68.35
1.042176,67.1
1.04349,66.23
1.044904,65.37
1.046568,64.37
1.047941,63.55
1.050037,62.23
1.051609,61.29
1.053408,60.2
1.054546,59.48
1.055831,58.69
1.05801,57.37
1.059784,56.27
1.061123,55.45
1.063043,54.26
1.064575,53.33
1.066151,52.37
1.068098,51.17
1.069609,50.23
1.071138,49.293
1.072635,48.333
1.074636,47.04
1.075314,46.647
1.076757,45.712
1.077506,45.237
1.078248,44.726
1.078974,44.267
1.079568,43.867
1.080272,43.413
1.081258,42.782
1.081857,42.363
1.082551,41.912
1.083487,41.28
1.084109,40.874
1.084885,40.376
1.085579,39.916
1.086204,39.5
1.086847,39.087
1.087527,38.655
1.088121,38.277
1.088831,37.824
1.089513,37.408
1.090206,36.972
1.090815,36.602
1.091393,36.265
1.092039,35.871
1.093275,35.172
1.094313,34.548
1.094961,34.209
1.095901,33.672
1.096635,33.278
1.09745,32.9
1.098277,32.434
1.099091,32.016
1.099877,31.643
1.101139,31.048
1.101998,30.631
1.102729,30.288
1.103643,29.896
1.104439,29.541
1.105199,29.233
1.106066,28.884
1.108798,27.848
1.110188,27.323
1.110872,27
1.111847,26.726
1.112733,26.461
1.113912,26.13
1.115275,25.786
1.116287,25.562
1.118966,25.037
1.120352,24.8
1.121604,24.622
1.124105,24.325
1.126226,24.116
1.129704,23.841
1.132402,23.663
1.135556,23.484
1.141213,23.208
1.14837,22.9
1.15269,22.718
1.15851,22.475
1.16321,22.278
1.16875,22.049
1.1729,21.859
1.17669,21.682
1.18043,21.515
1.18482,21.297
1.18875,21.103
1.19417,20.833
1.19738,20.667
1.20102,20.472
1.20345,20.337
1.20619,20.191
1.20872,20.05
1.21155,19.898
1.21562,19.667
1.21797,19.537
1.22309,19.242
1.2257,19.069
1.22807,18.963
1.23257,18.706
1.23561,18.53
1.23988,18.281
1.24249,18.132
1.24589,17.942
1.24798,17.819
1.25044,17.682
1.25294,17.546
1.25532,17.407
1.25803,17.256
1.26013,17.138
1.26286,16.996
1.2656,16.842
1.26862,16.67
1.27359,16.408
1.27577,16.29
1.27784,16.185
1.28254,15.94
1.28462,15.827
1.28715,15.698
1.28993,15.554
1.29254,15.425
1.29535,15.289
1.30088,15.017
1.31026,14.556
1.31276,14.451
1.31575,14.321
1.31812,14.21
1.32087,14.091
1.3244,13.929
1.32797,13.789
1.33116,13.65
1.33443,13.518
1.33745,13.39
1.3404,13.273
1.34484,13.1
1.34917,12.931
1.35185,12.827
1.355,12.714
1.35829,12.586
1.36263,12.435
1.36621,12.309
1.37049,12.153
1.37538,11.99
1.37955,11.862
1.38355,11.719
1.38829,11.57
1.39239,11.44
1.39781,11.279
1.40177,11.157
1.40926,11.024
1.41107,10.88
1.41527,10.763
1.41919,10.66
1.42355,10.538
1.42922,10.385
1.43402,10.26
1.43855,10.138
1.44382,10
1.44471,9.979
1.44779,9.901
1.45076,9.827
1.45249,9.784
1.45461,9.733
1.45669,9.683
1.45882,9.632
1.46137,9.571
1.46361,9.518
1.46573,9.466
1.46728,9.43
1.46914,9.387
1.47137,9.334
1.47318,9.294
1.47505,9.252
1.47838,9.175
1.48124,9.111
1.48303,9.07
1.48528,9.02
1.48781,8.962
1.49094,8.895
1.49318,8.844
1.49549,8.792
1.49814,8.732
1.50036,8.684
1.50196,8.649
1.50513,8.581
1.50666,8.548
1.51011,8.472
1.51258,8.42
1.5153,8.362
1.51834,8.297
1.52269,8.203
1.52494,8.156
1.52748,8.1
1.53036,8.041
1.53533,7.936
1.53853,7.871
1.54104,7.819
1.54362,7.767
1.54836,7.669
1.55125,7.611
1.55363,7.561
1.55608,7.512
1.55837,7.463
1.56004,7.429
1.56252,7.378
1.56614,7.304
1.56771,7.271
1.56942,7.237
1.57262,7.171
1.57541,7.114
1.57692,7.081
1.57985,7.02
1.58302,6.952
1.5851,6.913
1.58802,6.848
1.58954,6.819
1.59128,6.78
1.59553,6.691
1.59747,6.651
1.59919,6.616
1.60241,6.547
1.60724,6.446
1.60998,6.389
1.61298,6.327
1.61443,6.295
1.6162,6.258
1.618,6.22
1.62005,6.176
1.62157,6.143
1.6233,6.109
1.62558,6.057
1.62694,6.027
1.62897,5.982
1.63071,5.948
1.63204,5.916
1.6335,5.889
1.63502,5.852
1.63651,5.818
1.63761,5.791
1.63889,5.763
1.64029,5.732
1.64201,5.691
1.64338,5.66
1.64516,5.618
1.6466,5.585
1.64781,5.555
1.64918,5.524
1.65031,5.498
1.65153,5.468
1.65278,5.439
1.65404,5.41
1.65533,5.378
1.6565,5.349
1.65807,5.312
1.65957,5.275
1.66063,5.247
1.66201,5.215
1.66349,5.182
1.66605,5.12
1.66869,5.051
1.67022,5.018
1.67128,4.99
1.67243,4.96
1.67473,4.902
1.67611,4.868
1.6774,4.833
1.6786,4.802
1.68037,4.757
1.68145,4.725
1.68262,4.693
1.68389,4.66
1.68494,4.633
1.68634,4.552
1.68921,4.516
1.69043,4.479
1.692,4.435
1.69339,4.394
1.69486,4.352
1.69606,4.317
1.69728,4.277
1.69834,4.248
1.69961,4.212
1.70069,4.176
1.70158,4.151
1.70248,4.122
1.70342,4.092
1.70442,4.062
1.70545,4.029
1.70642,4
1.70824,3.94
1.70931,3.907
1.71046,3.868
1.71264,3.796
1.71509,3.716
1.7184,3.601
1.7208,3.517
1.72233,3.461
1.72383,3.406
1.72612,3.322
1.72731,3.276
1.72926,3.205
1.73124,3.128
1.73325,3.05
1.73537,2.967
1.73658,2.908
1.73867,2.822
1.74041,2.75
1.74173,2.695
1.74291,2.643
1.74472,2.562
1.74541,2.532
1.74637,2.488
1.74743,2.439
1.74816,2.407
1.74941,2.345
1.75057,2.29
1.75163,2.237
1.75268,2.184
1.75376,2.124
1.75471,2.075
1.75554,2.026
1.75599,2
